QualifiedName,ModifiedName,CBO,DIT,WMC,LCOM,LOC
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,org/apache/pdfbox/contentstream/operator/text/MoveTextSetLeading.java-2.0.31,0,1,0,0,35
org.apache.pdfbox.contentstream.operator.text.NextLine,org/apache/pdfbox/contentstream/operator/text/NextLine.java-2.0.31,0,1,0,0,38
org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,org/apache/pdfbox/contentstream/operator/text/SetCharSpacing.java-2.0.31,0,1,0,0,132
org.apache.pdfbox.contentstream.operator.text.SetFontAndSize,org/apache/pdfbox/contentstream/operator/text/SetFontAndSize.java-2.0.31,1,1,0,0,239
org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling,org/apache/pdfbox/contentstream/operator/text/SetTextHorizontalScaling.java-2.0.31,0,1,0,0,30
org.apache.pdfbox.contentstream.operator.text.SetTextLeading,org/apache/pdfbox/contentstream/operator/text/SetTextLeading.java-2.0.31,0,1,0,0,42
org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,org/apache/pdfbox/contentstream/operator/text/SetTextRenderingMode.java-2.0.31,0,1,0,0,167
org.apache.pdfbox.contentstream.operator.text.SetTextRise,org/apache/pdfbox/contentstream/operator/text/SetTextRise.java-2.0.31,0,1,0,0,243
org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,org/apache/pdfbox/contentstream/operator/text/SetWordSpacing.java-2.0.31,0,1,0,0,17
org.apache.pdfbox.contentstream.operator.text.ShowText,org/apache/pdfbox/contentstream/operator/text/ShowText.java-2.0.31,0,1,0,0,95
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,org/apache/pdfbox/contentstream/operator/text/ShowTextAdjusted.java-2.0.31,0,1,0,0,131
org.apache.pdfbox.contentstream.operator.text.ShowTextLine,org/apache/pdfbox/contentstream/operator/text/ShowTextLine.java-2.0.31,0,1,0,0,245
org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,org/apache/pdfbox/contentstream/operator/text/ShowTextLineAndSpace.java-2.0.31,0,1,0,0,13
org.apache.pdfbox.cos.COSArray,org/apache/pdfbox/cos/COSArray.java-2.0.31,5,1,50,0,94
org.apache.pdfbox.cos.COSBase,org/apache/pdfbox/cos/COSBase.java-2.0.31,0,0,4,0,113
org.apache.pdfbox.cos.COSBoolean,org/apache/pdfbox/cos/COSBoolean.java-2.0.31,0,1,4,1.1,249
org.apache.pdfbox.cos.COSDictionary,org/apache/pdfbox/cos/COSDictionary.java-2.0.31,10,1,64,0.667,36
org.apache.pdfbox.cos.COSDocument,org/apache/pdfbox/cos/COSDocument.java-2.0.31,9,1,61,0.923,96
org.apache.pdfbox.cos.COSFloat,org/apache/pdfbox/cos/COSFloat.java-2.0.31,0,2,15,0,117
org.apache.pdfbox.cos.COSInputStream,org/apache/pdfbox/cos/COSInputStream.java-2.0.31,2,0,2,0,250
org.apache.pdfbox.cos.COSInteger,org/apache/pdfbox/cos/COSInteger.java-2.0.31,0,2,13,1,16
org.apache.pdfbox.cos.COSName,org/apache/pdfbox/cos/COSName.java-2.0.31,0,1,4,0,23
org.apache.pdfbox.cos.COSNull,org/apache/pdfbox/cos/COSNull.java-2.0.31,0,1,1,0,24
org.apache.pdfbox.cos.COSNumber,org/apache/pdfbox/cos/COSNumber.java-2.0.31,1,1,4,0,24
org.apache.pdfbox.cos.COSObject,org/apache/pdfbox/cos/COSObject.java-2.0.31,2,1,16,0.867,32
org.apache.pdfbox.cos.COSObjectKey,org/apache/pdfbox/cos/COSObjectKey.java-2.0.31,1,0,11,0.375,34
org.apache.pdfbox.cos.COSOutputStream,org/apache/pdfbox/cos/COSOutputStream.java-2.0.31,5,0,12,0.667,39
org.apache.pdfbox.cos.COSStream,org/apache/pdfbox/cos/COSStream.java-2.0.31,8,2,19,0.7,58
org.apache.pdfbox.cos.COSString,org/apache/pdfbox/cos/COSString.java-2.0.31,1,1,7,0.875,250
