QualifiedName,ModifiedName,CBO,DIT,WMC,LOC,LCOM
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequence.java-2.0.26,0,1,0,11,0
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequenceWithProperties.java-2.0.26,0,1,0,14,0
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject,org/apache/pdfbox/contentstream/operator/markedcontent/DrawObject.java-2.0.26,1,1,0,27,0
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,org/apache/pdfbox/contentstream/operator/markedcontent/EndMarkedContentSequence.java-2.0.26,0,1,0,7,0
org.apache.pdfbox.contentstream.operator.state.Concatenate,org/apache/pdfbox/contentstream/operator/state/Concatenate.java-2.0.26,0,1,0,19,0
org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException,org/apache/pdfbox/contentstream/operator/state/EmptyGraphicsStackException.java-2.0.26,0,0,1,4,0
org.apache.pdfbox.contentstream.operator.state.Restore,org/apache/pdfbox/contentstream/operator/state/Restore.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.state.Save,org/apache/pdfbox/contentstream/operator/state/Save.java-2.0.26,0,1,0,7,0
org.apache.pdfbox.contentstream.operator.state.SetFlatness,org/apache/pdfbox/contentstream/operator/state/SetFlatness.java-2.0.26,0,1,0,12,0
org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,org/apache/pdfbox/contentstream/operator/state/SetGraphicsStateParameters.java-2.0.26,1,1,0,18,0
org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle,org/apache/pdfbox/contentstream/operator/state/SetLineCapStyle.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern,org/apache/pdfbox/contentstream/operator/state/SetLineDashPattern.java-2.0.26,1,1,0,27,0
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,org/apache/pdfbox/contentstream/operator/state/SetLineJoinStyle.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,org/apache/pdfbox/contentstream/operator/state/SetLineMiterLimit.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.state.SetLineWidth,org/apache/pdfbox/contentstream/operator/state/SetLineWidth.java-2.0.26,0,1,0,10,0
org.apache.pdfbox.contentstream.operator.state.SetMatrix,org/apache/pdfbox/contentstream/operator/state/SetMatrix.java-2.0.26,0,1,0,20,0
org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,org/apache/pdfbox/contentstream/operator/state/SetRenderingIntent.java-2.0.26,0,1,0,13,0
org.apache.pdfbox.contentstream.operator.text.BeginText,org/apache/pdfbox/contentstream/operator/text/BeginText.java-2.0.26,0,1,0,9,0
org.apache.pdfbox.contentstream.operator.text.EndText,org/apache/pdfbox/contentstream/operator/text/EndText.java-2.0.26,0,1,0,9,0
org.apache.pdfbox.contentstream.operator.text.MoveText,org/apache/pdfbox/contentstream/operator/text/MoveText.java-2.0.26,1,1,0,24,0
